timestamp,average_amplitude,max_amplitude,min_amplitude,std_deviation,total_energy,num_memory_items,field_entropy,nonzero_percentage,avg_memory_distance,max_memory_distance,avg_resonance,max_resonance,field_dimensions,dimension_count,diffusion_constant,damping,potential_alpha,potential_beta,evolution_steps,avg_semantic_similarity,min_semantic_similarity,max_semantic_similarity,avg_memory_field_value,max_memory_field_value,min_memory_field_value
2025-03-06T15:30:19.923223,0.9477367070074949,3.059873892151095,-2.3608943241714253,1.3972659578593163,46703.52626158671,10,-33524.18542769961,99.993896484375,54.36146407311013,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,100,0.49455320835113525,0.3498407006263733,0.9563871026039124,2.381035152483452,3.0371622812426007,1.739897520560492
2025-03-06T15:31:34.437485,0.960425578714992,2.7249747645803177,-2.452843137284013,1.941281632996788,76857.20753538175,20,-60550.222965461784,100.0,34.186053291085756,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,200,0.447430819272995,0.30150604248046875,0.9563871026039124,2.5277810110230616,2.691892765959813,2.260098495344771
2025-03-06T15:32:08.675084,0.957550884847138,2.7292232743306766,-2.4077271070019615,1.9521753810984954,77461.7893378227,30,-61167.77324711604,100.0,26.008315384210434,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,300,0.4542318880558014,0.297545850276947,0.9563871026039124,2.557342508040734,2.6959978381793546,2.2569072445883105
2025-03-06T15:33:22.339601,0.9485891126738171,2.707742384868357,-2.401166798128599,1.9606719180049679,77726.60817488411,40,-61417.8978951562,100.0,20.69358820229092,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,400,0.4599210321903229,0.26026177406311035,0.9563871026039124,2.6005946574482373,2.707742384868357,2.2469302533073994
2025-03-06T15:33:36.311158,0.9439772476620171,2.751455283987457,-2.383204496846826,1.9672690912144044,78008.16797861652,50,-61769.70293287914,100.0,17.30275781712367,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,500,0.4646872878074646,0.2469933032989502,0.9563871026039124,2.597565771567167,2.746594568026625,2.2416353115232797
2025-03-06T15:33:59.403394,0.9389767554687747,2.674317396375783,-2.365516578965612,1.9723124779442476,78179.43216890258,60,-61938.22288390339,100.0,14.88159445141804,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,600,0.46292221546173096,0.2469933032989502,0.9563871026039124,2.6134420875333153,2.674317396375783,2.23699872860531
2025-03-06T15:34:30.285331,0.9331951555097364,2.7146457598751903,-2.348387574643393,1.9785856816261536,78408.16329200224,70,-62200.78367464747,100.0,13.125405279281518,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,700,0.45575591921806335,0.2469933032989502,0.9563871026039124,2.6253879424037967,2.7146222022548354,2.23332720295872
2025-03-06T15:35:15.702183,0.928379707241965,2.7128835381184313,-2.3499098024763363,1.9820157689366902,78483.87197554483,80,-62268.831440531925,100.0,11.734677693677549,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,800,0.459516704082489,0.2469933032989502,0.9563871026039124,2.6212087078621376,2.695697490610366,2.2320505169696143
2025-03-06T15:36:29.787798,0.9228023457536205,2.706127550488087,-2.35037468032188,1.9863396540424363,78595.84025476809,90,-62409.767879723324,100.0,10.681270449617339,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,900,0.45674464106559753,0.24630731344223022,0.9563871026039124,2.6243091233693616,2.706127550488087,2.2315036130751515
2025-03-06T15:37:56.641618,0.9182062980228374,2.681653104888375,-2.3401816837198117,1.989974308889067,78693.99950569181,100,-62509.99574954489,100.0,9.823194419718725,132.03408650799233,0.0,0.0,"(128, 128)",2,0.1,0.8,0.5,0.1,1000,0.45040279626846313,0.2315426468849182,0.9563871026039124,2.6282434127918317,2.6801959509741833,2.232427657043809
